"No.","Time","Source","Destination","Protocol","Length","Info","Text","Bit Value"
"514","2.799793","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=32&event=mousemove HTTP/1.1 ","",""
"524","2.806129","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=33&event=mousemove HTTP/1.1 ","",""
"534","2.816497","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=34&event=mousemove HTTP/1.1 ","",""
"544","2.823477","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=35&event=mousemove HTTP/1.1 ","",""
"554","2.834927","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=36&event=mousemove HTTP/1.1 ","",""
"564","2.873238","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=41&event=mousemove HTTP/1.1 ","",""
"574","2.888190","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=42&event=mousemove HTTP/1.1 ","",""
"584","2.909565","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=14&y=45&event=mousemove HTTP/1.1 ","",""
"596","2.918088","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=14&y=47&event=mousemove HTTP/1.1 ","",""
"608","3.045151","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=14&y=48&event=mousemove HTTP/1.1 ","",""
"620","3.068706","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=49&event=mousemove HTTP/1.1 ","",""
"630","3.087435","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=50&event=mousemove HTTP/1.1 ","",""
"640","3.102049","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=51&event=mousemove HTTP/1.1 ","",""
"650","3.123774","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=53&event=mousemove HTTP/1.1 ","",""
"660","3.134639","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=54&event=mousemove HTTP/1.1 ","",""
"670","3.150389","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=56&event=mousemove HTTP/1.1 ","",""
"680","3.184257","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=57&event=mousemove HTTP/1.1 ","",""
"690","3.254149","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=58&event=mousemove HTTP/1.1 ","",""
"700","3.290871","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=59&event=mousemove HTTP/1.1 ","",""
"710","3.299623","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=60&event=mousemove HTTP/1.1 ","",""
"720","3.310065","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=14&y=61&event=mousemove HTTP/1.1 ","",""
"730","3.323210","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=14&y=62&event=mousemove HTTP/1.1 ","",""
"742","3.341026","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=14&y=64&event=mousemove HTTP/1.1 ","",""
"754","3.373289","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=14&y=65&event=mousemove HTTP/1.1 ","",""
"766","3.645263","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=15&y=65&event=mousemove HTTP/1.1 ","",""
"778","3.655842","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=16&y=65&event=mousemove HTTP/1.1 ","",""
"788","3.671941","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=18&y=65&event=mousemove HTTP/1.1 ","",""
"800","3.687849","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=20&y=65&event=mousemove HTTP/1.1 ","",""
"807","3.690207","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=21&y=65&event=mousemove HTTP/1.1 ","",""
"824","3.700147","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=24&y=65&event=mousemove HTTP/1.1 ","",""
"836","3.708907","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=27&y=65&event=mousemove HTTP/1.1 ","",""
"848","3.718027","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=30&y=65&event=mousemove HTTP/1.1 ","",""
"860","3.727866","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=33&y=65&event=mousemove HTTP/1.1 ","",""
"872","3.758881","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=38&y=65&event=mousemove HTTP/1.1 ","",""
"882","3.775516","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=42&y=65&event=mousemove HTTP/1.1 ","",""
"887","3.778828","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=45&y=65&event=mousemove HTTP/1.1 ","",""
"906","3.800938","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=46&y=65&event=mousemove HTTP/1.1 ","",""
"918","3.920703","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=47&y=65&event=mousemove HTTP/1.1 ","",""
"930","3.945141","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=48&y=65&event=mousemove HTTP/1.1 ","",""
"942","3.979797","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=49&y=65&event=mousemove HTTP/1.1 ","",""
"954","4.105682","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=50&y=65&event=mousemove HTTP/1.1 ","",""
"966","4.133432","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=51&y=65&event=mousemove HTTP/1.1 ","",""
"978","4.144612","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=52&y=65&event=mousemove HTTP/1.1 ","",""
"990","4.165042","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=54&y=65&event=mousemove HTTP/1.1 ","",""
"1002","4.184264","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=55&y=65&event=mousemove HTTP/1.1 ","",""
"1014","4.209094","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=56&y=65&event=mousemove HTTP/1.1 ","",""
"1019","4.211982","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=57&y=65&event=mousemove HTTP/1.1 ","",""
"1038","4.642315","127.0.0.1","127.0.0.1","HTTP","352","GET /anticheat?x=57&y=65&event=mouseup HTTP/1.1 ","",""
"1050","5.095512","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=57&y=64&event=mousemove HTTP/1.1 ","",""
"1060","5.123783","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=57&y=63&event=mousemove HTTP/1.1 ","",""
"1070","5.133290","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=58&y=63&event=mousemove HTTP/1.1 ","",""
"1082","5.140155","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=58&y=62&event=mousemove HTTP/1.1 ","",""
"1094","5.179200","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=59&y=61&event=mousemove HTTP/1.1 ","",""
"1106","5.291998","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=59&y=60&event=mousemove HTTP/1.1 ","",""
"1118","5.319568","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=60&y=60&event=mousemove HTTP/1.1 ","",""
"1128","5.328909","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=60&y=59&event=mousemove HTTP/1.1 ","",""
"1138","5.344415","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=61&y=58&event=mousemove HTTP/1.1 ","",""
"1148","5.355258","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=61&y=57&event=mousemove HTTP/1.1 ","",""
"1160","5.365937","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=62&y=56&event=mousemove HTTP/1.1 ","",""
"1172","5.377936","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=62&y=55&event=mousemove HTTP/1.1 ","",""
"1184","5.385552","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=63&y=54&event=mousemove HTTP/1.1 ","",""
"1196","5.393797","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=64&y=52&event=mousemove HTTP/1.1 ","",""
"1208","5.412018","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=65&y=51&event=mousemove HTTP/1.1 ","",""
"1213","5.414060","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=66&y=49&event=mousemove HTTP/1.1 ","",""
"1232","5.428922","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=69&y=45&event=mousemove HTTP/1.1 ","",""
"1244","5.458739","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=70&y=44&event=mousemove HTTP/1.1 ","",""
"1254","5.466594","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=73&y=40&event=mousemove HTTP/1.1 ","",""
"1266","5.499408","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=76&y=37&event=mousemove HTTP/1.1 ","",""
"1278","5.506381","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=78&y=35&event=mousemove HTTP/1.1 ","",""
"1290","5.528339","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=79&y=34&event=mousemove HTTP/1.1 ","",""
"1302","5.535211","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=80&y=33&event=mousemove HTTP/1.1 ","",""
"1314","5.559084","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=83&y=29&event=mousemove HTTP/1.1 ","",""
"1326","5.565402","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=85&y=28&event=mousemove HTTP/1.1 ","",""
"1338","5.582251","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=86&y=26&event=mousemove HTTP/1.1 ","",""
"1350","5.596469","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=87&y=25&event=mousemove HTTP/1.1 ","",""
"1362","5.640485","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=87&y=23&event=mousemove HTTP/1.1 ","",""
"1372","5.670422","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=88&y=21&event=mousemove HTTP/1.1 ","",""
"1384","5.689348","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=89&y=20&event=mousemove HTTP/1.1 ","",""
"1394","5.696554","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=90&y=18&event=mousemove HTTP/1.1 ","",""
"1406","5.723751","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=92&y=17&event=mousemove HTTP/1.1 ","",""
"1418","5.754767","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=93&y=16&event=mousemove HTTP/1.1 ","",""
"1423","5.759080","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=93&y=15&event=mousemove HTTP/1.1 ","",""
"1442","5.772469","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=95&y=14&event=mousemove HTTP/1.1 ","",""
"1454","5.781438","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=95&y=13&event=mousemove HTTP/1.1 ","",""
"1466","5.799685","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=96&y=11&event=mousemove HTTP/1.1 ","",""
"1478","5.813173","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=97&y=10&event=mousemove HTTP/1.1 ","",""
"1490","5.831682","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=98&y=9&event=mousemove HTTP/1.1 ","",""
"1502","5.864396","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=99&y=9&event=mousemove HTTP/1.1 ","",""
"1514","5.880172","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=99&y=8&event=mousemove HTTP/1.1 ","",""
"1526","6.221441","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=98&y=8&event=mousemove HTTP/1.1 ","",""
"1538","6.676353","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=97&y=8&event=mousemove HTTP/1.1 ","",""
"1550","6.684935","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=97&y=9&event=mousemove HTTP/1.1 ","",""
"1562","6.694629","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=96&y=9&event=mousemove HTTP/1.1 ","",""
"1574","6.736897","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=95&y=9&event=mousemove HTTP/1.1 ","",""
"1586","6.865050","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=94&y=9&event=mousemove HTTP/1.1 ","",""
"1598","7.053499","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=94&y=10&event=mousemove HTTP/1.1 ","",""
"1610","7.826556","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=95&y=10&event=mousemove HTTP/1.1 ","",""
"1622","7.951386","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=95&y=9&event=mousedown HTTP/1.1 ","",""
"1634","8.051527","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=96&y=12&event=mousemove HTTP/1.1 ","",""
"1646","8.090386","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=96&y=15&event=mousemove HTTP/1.1 ","",""
"1658","8.106052","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=97&y=16&event=mousemove HTTP/1.1 ","",""
"1670","8.137487","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=97&y=18&event=mousemove HTTP/1.1 ","",""
"1680","8.157855","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=98&y=18&event=mousemove HTTP/1.1 ","",""
"1690","8.172165","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=98&y=20&event=mousemove HTTP/1.1 ","",""
"1702","8.202000","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=98&y=21&event=mousemove HTTP/1.1 ","",""
"1712","8.381903","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=99&y=21&event=mousemove HTTP/1.1 ","",""
"1724","8.424539","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=100&y=21&event=mousemove HTTP/1.1 ","",""
"1736","8.449218","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=101&y=21&event=mousemove HTTP/1.1 ","",""
"1748","8.454910","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=102&y=21&event=mousemove HTTP/1.1 ","",""
"1760","8.464152","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=102&y=20&event=mousemove HTTP/1.1 ","",""
"1770","8.470268","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=104&y=20&event=mousemove HTTP/1.1 ","",""
"1780","8.483418","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=105&y=20&event=mousemove HTTP/1.1 ","",""
"1790","8.499261","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=106&y=20&event=mousemove HTTP/1.1 ","",""
"1802","8.509988","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=108&y=20&event=mousemove HTTP/1.1 ","",""
"1812","8.519265","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=109&y=20&event=mousemove HTTP/1.1 ","",""
"1822","8.557234","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=114&y=20&event=mousemove HTTP/1.1 ","",""
"1832","8.582149","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=118&y=20&event=mousemove HTTP/1.1 ","",""
"1839","8.584502","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=119&y=20&event=mousemove HTTP/1.1 ","",""
"1856","8.634023","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=120&y=20&event=mousemove HTTP/1.1 ","",""
"1868","8.670841","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=121&y=20&event=mousemove HTTP/1.1 ","",""
"1880","8.692457","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=122&y=20&event=mousemove HTTP/1.1 ","",""
"1892","8.700907","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=124&y=20&event=mousemove HTTP/1.1 ","",""
"1904","8.720366","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=125&y=20&event=mousemove HTTP/1.1 ","",""
"1916","8.858559","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=126&y=20&event=mousemove HTTP/1.1 ","",""
"1928","8.869126","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=127&y=20&event=mousemove HTTP/1.1 ","",""
"1940","8.882008","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=128&y=20&event=mousemove HTTP/1.1 ","",""
"1952","8.887288","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=129&y=20&event=mousemove HTTP/1.1 ","",""
"1962","8.893047","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=130&y=20&event=mousemove HTTP/1.1 ","",""
"1972","8.905096","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=131&y=20&event=mousemove HTTP/1.1 ","",""
"1977","8.912369","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=133&y=20&event=mousemove HTTP/1.1 ","",""
"1989","8.924563","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=134&y=20&event=mousemove HTTP/1.1 ","",""
"2008","8.957932","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=135&y=20&event=mousemove HTTP/1.1 ","",""
"2013","8.958405","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=137&y=20&event=mousemove HTTP/1.1 ","",""
"2032","8.974360","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=137&y=19&event=mousemove HTTP/1.1 ","",""
"2042","9.160565","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=137&y=19&event=mouseup HTTP/1.1 ","",""
"2054","9.188598","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=136&y=19&event=mousemove HTTP/1.1 ","",""
"2064","9.210860","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=134&y=19&event=mousemove HTTP/1.1 ","",""
"2074","9.227806","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=133&y=19&event=mousemove HTTP/1.1 ","",""
"2084","9.262176","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=124&y=23&event=mousemove HTTP/1.1 ","",""
"2096","9.289499","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=121&y=25&event=mousemove HTTP/1.1 ","",""
"2106","9.321569","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=118&y=27&event=mousemove HTTP/1.1 ","",""
"2111","9.322061","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=117&y=28&event=mousemove HTTP/1.1 ","",""
"2116","9.324209","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=115&y=30&event=mousemove HTTP/1.1 ","",""
"2142","9.341395","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=114&y=32&event=mousemove HTTP/1.1 ","",""
"2154","9.361249","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=113&y=32&event=mousemove HTTP/1.1 ","",""
"2166","9.376398","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=113&y=33&event=mousemove HTTP/1.1 ","",""
"2176","9.452478","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=114&y=33&event=mousemove HTTP/1.1 ","",""
"2188","9.508742","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=115&y=32&event=mousemove HTTP/1.1 ","",""
"2200","9.541615","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=115&y=31&event=mousemove HTTP/1.1 ","",""
"2212","9.577683","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=116&y=30&event=mousemove HTTP/1.1 ","",""
"2224","9.593634","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=116&y=29&event=mousemove HTTP/1.1 ","",""
"2236","9.657053","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=116&y=28&event=mousemove HTTP/1.1 ","",""
"2248","9.680231","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=116&y=28&event=mousedown HTTP/1.1 ","",""
"2260","9.763315","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=116&y=31&event=mousemove HTTP/1.1 ","",""
"2272","9.774117","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=116&y=32&event=mousemove HTTP/1.1 ","",""
"2282","9.784491","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=116&y=33&event=mousemove HTTP/1.1 ","",""
"2292","9.790938","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=116&y=34&event=mousemove HTTP/1.1 ","",""
"2304","9.812672","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=116&y=35&event=mousemove HTTP/1.1 ","",""
"2316","9.839619","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=116&y=36&event=mousemove HTTP/1.1 ","",""
